AVG Current,STD Current,MAX Current,MIN Current,Range Current,Kurtosis Current,RMS Current,Skewness Current,Entropy Current,AVG Torque,STD Torque,MAX Torque,MIN Torque,Range Torque,Kurtosis Torque,RMS Torque,Skewness Torque,Entropy Torque,AVG Active Power,STD Active Power,MAX Active Power,MIN Active Power,Range Active Power,Kurtosis Active Power,RMS Active Power,Skewness Active Power,Entropy Active Power,Class
0.565299,0.011280,0.589294,0.546814,0.042480,0.899446,0.565411,0.216012,6.907557,0.061424,0.012409,0.080566,0.035889,0.044677,1.172352,0.062663,0.390664,6.886544,0.380087,0.022089,0.413818,0.336853,0.076965,1.192459,0.380728,0.403581,6.906053,0
0.564932,0.010937,0.589050,0.547607,0.041443,0.949094,0.565038,0.260956,6.907568,0.061031,0.012415,0.079712,0.036743,0.042969,1.165333,0.062280,0.413580,6.886206,0.379319,0.022225,0.411560,0.337402,0.074158,1.203021,0.379969,0.436983,6.906024,0
0.562085,0.010774,0.584717,0.542603,0.042114,0.977294,0.562188,0.206716,6.907572,0.060410,0.012050,0.076904,0.034119,0.042785,1.103692,0.061599,0.448085,6.886998,0.377613,0.021740,0.412598,0.333313,0.079285,1.140982,0.378237,0.443144,6.906084,0
0.561826,0.011034,0.585754,0.543518,0.042236,0.938888,0.561934,0.231965,6.907563,0.061100,0.011987,0.079224,0.038086,0.041138,1.175011,0.062263,0.424353,6.887736,0.378362,0.021452,0.409973,0.334290,0.075683,1.159529,0.378969,0.455680,6.906134,0
0.564137,0.011294,0.587280,0.544312,0.042968,0.877215,0.564250,0.230373,6.907555,0.061278,0.011948,0.078003,0.038574,0.039429,1.163110,0.062430,0.417630,6.887997,0.379518,0.021317,0.410217,0.339111,0.071106,1.166877,0.380116,0.440538,6.906165,0
0.565310,0.011324,0.590576,0.547974,0.042602,0.888258,0.565424,0.218349,6.907555,0.061204,0.012333,0.080994,0.036377,0.044617,1.163464,0.062433,0.390857,6.886651,0.379692,0.021942,0.413147,0.333557,0.079590,1.171765,0.380325,0.422767,6.906072,0
0.565115,0.011025,0.589233,0.547119,0.042114,0.938594,0.565222,0.218007,6.907565,0.060490,0.012419,0.079163,0.035767,0.043396,1.159712,0.061750,0.418097,6.885783,0.378317,0.022188,0.410645,0.334473,0.076172,1.190740,0.378967,0.422683,6.906021,0
0.561825,0.010722,0.585205,0.543091,0.042114,0.989028,0.561927,0.217204,6.907574,0.060471,0.012044,0.079285,0.036560,0.042725,1.086383,0.061657,0.452733,6.887052,0.377598,0.021617,0.409973,0.335693,0.074280,1.132430,0.378216,0.459229,6.906102,0
0.562072,0.011040,0.585999,0.541931,0.044068,0.872260,0.562181,0.232679,6.907563,0.060828,0.012114,0.077698,0.035400,0.042298,1.155481,0.062022,0.426106,6.887107,0.378277,0.021779,0.411133,0.333557,0.077576,1.148904,0.378903,0.443669,6.906084,0
0.564176,0.011312,0.587891,0.545227,0.042664,0.873038,0.564290,0.225590,6.907555,0.061224,0.011921,0.078674,0.037537,0.041137,1.178852,0.062373,0.395570,6.888084,0.379467,0.021390,0.410522,0.334717,0.075805,1.174123,0.380069,0.426729,6.906154,0
